"CRN","Fac ID","Lname","Fname","Minitial","Position","Subject","Course","Section","Title","Campus","Active or Cncld","LEC or Oth","Crse Del Type","Session","Credits","WLF","Bud Code","Contact Hrs","Days","Beg Time","End Time","Seats CAP","Enroll","Waitlist","Bldg","Rm","Xlist","DSC Email","Message"
40727,"",,,,,"CS",1030,"01","Problem Solving with Computers","A01","A","LEC","P","1",3,3,"BA",,"MW","1330","1445",32,0,0,"SMITH",108,,,
42080,"",,,,,"CS",1030,"02","Problem Solving with Computers","A01","A","LEC","P","1",3,3,"BA",,"MWF","1100","1150",32,0,0,"SMITH",108,,,
43019,"",,,,,"CS",1030,"83J","Problem Solving with Computers","C03","A","LEC","P","CE",3,3,"SF",,,"","",30,0,0,,,,,
42389,"",,,,,"CS",1030,"89J","Problem Solving with Computers","UOS","A","LEC","I","CE",3,3,"SF",,,"","",50,0,0,"ONLINE",,,,
40771,"",,,,,"CS",1400,"01","Fundamentals of Programming","A01","A","LEC","P","1",3,3,"BA",,"MW","1200","1315",37,0,0,"SMITH",116,,,
40497,"",,,,,"CS",1400,"02","Fundamentals of Programming","A01","A","LEC","P","1",3,3,"BA",,"MW","1330","1445",38,0,0,"SMITH",116,,,
40585,"",,,,,"CS",1400,"03","Fundamentals of Programming","A01","A","LEC","P","1",3,3,"BA",,"MWF","1000","1050",31,0,0,"SMITH",109,,,
40195,"",,,,,"CS",1400,"04","Fundamentals of Programming","A01","A","LEC","P","1",3,3,"BA",,"TR","1500","1615",36,0,0,"SMITH",116,,,
42069,"",,,,,"CS",1400,"40","Fundamentals of Programming","O01","A","LEC","I","1",3,3,"BA",,,"","",38,0,0,"ONLINE",,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
40624,"",,,,,"CS",1400,"81J","Fundamentals of Programming","C02","A","LEC","P","Y",3,3,"SF",,,"","",50,0,0,,,,,
42975,"",,,,,"CS",1400,"89J","Fundamentals of Programming","UOS","A","LEC","I","CE",3,3,"SF",,,"","",30,0,0,,,,,
40357,"",,,,,"CS",1410,"01","Object Oriented Programming","A01","A","LEC","P","1",3,3,"BA",,"MWF","0900","0950",31,0,0,"SMITH",109,,,
41665,"",,,,,"CS",1410,"02","Object Oriented Programming","A01","A","LEC","P","1",3,3,"BA",,"MWF","1000","1050",31,0,0,"SMITH",108,,,
42400,"",,,,,"CS",1410,"81J","Object Oriented Programming","C02","A","LEC","P","Y",3,3,"SF",,,"","",30,0,0,,,,,
42976,"",,,,,"CS",1410,"89J","Object Oriented Programming","UOS","A","LEC","I","CE",3,3,"SF",,,"","",30,0,0,,,,,
42654,"",,,,,"CS",2100,"01","Discrete Structures","A01","A","LEC","P","1",3,3,"BA",,"MW","1500","1615",38,0,0,"SMITH",116,,,
40128,"",,,,,"CS",2420,"01","Introduction to Algorithms and Data Structures","A01","A","LEC","P","1",3,3,"BA",,"MWF","0900","0950",37,0,0,"SMITH",116,,,
40816,"",,,,,"CS",2420,"02","Introduction to Algorithms and Data Structures","A01","A","LEC","P","1",3,3,"BA",,"MWF","1100","1150",38,0,0,"SMITH",116,,,
