CRN,Fac ID,Lname,Fname,Minitial,Position,Subject,Course,Section,Title,Campus,Active or Cncld,LEC or Oth,Crse Del Type,Session,Credits,WLF,Bud Code,Contact Hrs,Days,Beg Time,End Time,Seats CAP,Enroll,Waitlist Capacity,Waitlist Actual,Bldg,Rm,Xlist,UT Email,Message
40702,,,,,,BIOL,1010,01,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,TR,0730,0845,59,0,10,0,SET,106,,,
40165,,,,,,BIOL,1010,02,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,TR,0900,1015,58,0,10,0,BROWN,201,,,
42040,,,,,,BIOL,1010,03,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,MWF,0800,0850,60,0,10,0,SET,301,,,
40039,,,,,,BIOL,1010,04,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,30,0,10,0,BROWN,201,,,
40703,,,,,,BIOL,1010,05,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,59,0,10,0,SET,106,,,
41278,,,,,,BIOL,1010,07,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,60,0,10,0,SET,106,,,"Fulfills General Education Life Sciences requirement. Not for science majors, this course focuses on general principles of Biology, including cell theory, genetics, evolution, and interrelationships of living things, using a variety of teaching methods including lecture/discussion, laboratory, overheads, videos, quizzes and exams. Recommended corequisite: BIOL 1015. Inclusive Access Course Material fees may apply, see Fees tab under each course section for details. This course was selected to participate in Dixie State University's Supplemental Instruction (SI) Program. This course adds one weekly class SI session but does not increase credit hours. SI is a series of weekly review sessions, led by peer SI leaders and designed to help students succeed in their academic pursuits. SI is provided for students who want to improve their understanding of course material and improve their grades. Inclusive Access Course Material fees may apply, see Fees tab under each course section for details. **COURSE LEARNING OUTCOMES (CLOs) At the successful conclusion of this course, students will be able to: 1. Identify the scientific method, including hypothesis, experimental controls, and experimental design. 2. Describe concepts related to cell theory, the genetic basis for life, and the diversity of life, evolution, and ecology. 3. Apply biological concepts to solve real-world scientific problems. 4. Discuss how science is incorporated into daily life and identify ways to engage in the public discussion of biological issues."
40477,,,,,,BIOL,1010,08,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,60,0,10,0,SET,301,,,"Fulfills General Education Life Sciences requirement. Not for science majors, this course focuses on general principles of Biology, including cell theory, genetics, evolution, and interrelationships of living things, using a variety of teaching methods including lecture/discussion, laboratory, overheads, videos, quizzes and exams. Recommended corequisite: BIOL 1015. Inclusive Access Course Material fees may apply, see Fees tab under each course section for details. This course was selected to participate in Dixie State University's Supplemental Instruction (SI) Program. This course adds one weekly class SI session but does not increase credit hours. SI is a series of weekly review sessions, led by peer SI leaders and designed to help students succeed in their academic pursuits. SI is provided for students who want to improve their understanding of course material and improve their grades. Inclusive Access Course Material fees may apply, see Fees tab under each course section for details. **COURSE LEARNING OUTCOMES (CLOs) At the successful conclusion of this course, students will be able to: 1. Identify the scientific method, including hypothesis, experimental controls, and experimental design. 2. Describe concepts related to cell theory, the genetic basis for life, and the diversity of life, evolution, and ecology. 3. Apply biological concepts to solve real-world scientific problems. 4. Discuss how science is incorporated into daily life and identify ways to engage in the public discussion of biological issues."
41699,,,,,,BIOL,1010,09,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,59,0,10,0,SET,301,,,
41686,,,,,,BIOL,1010,12,General Biology (LS),A01,A,LEC,P,1,3,3,BA,,MW,1530,1645,60,0,10,0,SET,301,,,
40501,,,,,,BIOL,1010,40,General Biology (LS),O01,A,LEC,I,1,3,3,BA,,,,,56,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
41394,,,,,,BIOL,1010,41,General Biology (LS),O01,A,LEC,I,1,3,3,BA,,,,,35,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
41780,,,,,,BIOL,1010,42,General Biology (LS),O01,A,LEC,I,1,3,3,BA,,,,,40,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
42131,,,,,,BIOL,1010,84J,General Biology (LS),C06,A,LEC,P,CE,3,3,SF,,,,,30,0,10,0,,,,,
41929,,,,,,BIOL,1010,U8J,General Biology (LS),C21,A,LEC,I,CE,3,3,SF,,,,,50,0,10,0,,,,,
42112,,,,,,BIOL,1010,X8J,General Biology (LS),C26,A,LEC,P,Y,3,3,SF,,,,,30,0,10,0,,,,,
41491,,,,,,BIOL,1015,40,General Biology Lab,O01,A,LBC,I,1,1,3,BA,,,,,33,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
42170,,,,,,BIOL,1015,X8J,General Biology Lab,C26,A,LBC,P,Y,1,3,SF,,,,,30,0,10,0,,,,,
41026,,,,,,BIOL,1200,02,Human Biology (LS),A01,A,LEC,P,1,3,3,BA,,TR,1030,1145,65,0,10,0,COE,121,,,
42768,,,,,,BIOL,1200,03,Human Biology (LS),A01,A,LEC,P,1,3,3,BA,,MWF,0900,0950,30,0,10,0,BROWN,201,,,
41681,,,,,,BIOL,1200,04,Human Biology (LS),A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,30,0,10,0,BROWN,201,,,
41692,,,,,,BIOL,1200,06,Human Biology (LS),A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,60,0,10,0,BROWN,201,,,
41422,,,,,,BIOL,1200,40,Human Biology (LS),O01,A,LEC,I,1,3,3,BA,,,,,41,0,10,0,ONLINE,,,,"ONLINE COURSE. You are expected to log into your online course(s) within the first three days of the term, or you may be withdrawn.  To log in, go to canvas.utahtech.edu and follow the log in instructions.  After logging in, click on 'Courses' from the side menu to access your enrolled course(s).  Follow instructions provided by your instructor on the course landing page or syllabus.  For support and additional information, please visit online.utahtech.edu.  Online Delivery Fee: $30/credit."
41746,,,,,,BIOL,1200,80J,Human Biology (LS),C01,A,LEC,P,CE,3,3,SF,,,,,36,0,10,0,,,,,
41937,,,,,,BIOL,1200,82J,Human Biology (LS),C04,A,LEC,P,Y,3,3,SF,,,,,75,0,10,0,,,,,
41711,,,,,,BIOL,1200,83J,Human Biology (LS),C03,A,LEC,P,Y,3,3,SF,,,,,150,0,10,0,,,,,
42128,,,,,,BIOL,1200,88J,Human Biology (LS),C13,A,LEC,P,Y,3,3,SF,,,,,30,0,10,0,,,,,
41720,,,,,,BIOL,1200,89J,Human Biology (LS),UOS,A,LEC,I,CE,3,3,SF,,,,,87,0,10,0,,,,,
