CRN,Fac ID,Lname,Fname,Minitial,Position,Subject,Course,Section,Title,Campus,Active or Cncld,LEC or Oth,Crse Del Type,Session,Credits,WLF,Bud Code,Contact Hrs,Days,Beg Time,End Time,Seats CAP,Enroll,Waitlist Capacity,Waitlist Actual,Bldg,Rm,Xlist
40677,,,,,,CS,1030,1,Problem Solving with Computers,A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,32,0,15,0,SMITH,109,
41896,,,,,,CS,1030,2,Problem Solving with Computers,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,32,0,15,0,SMITH,107,
40718,,,,,,CS,1400,1,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,28,0,15,0,SMITH,107,
40461,,,,,,CS,1400,2,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,32,0,15,0,SMITH,109,
40542,,,,,,CS,1400,3,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,32,0,15,0,SMITH,108,
42625,,,,,,CS,1400,4,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,32,0,20,0,SMITH,109,
41889,,,,,,CS,1400,40,Fundamentals of Programming,O01,A,LEC,I,1,3,3,BA,,,,,38,0,15,0,ONLINE,,
40324,,,,,,CS,1410,1,Object Oriented Programming,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,32,0,15,0,SMITH,109,
41545,,,,,,CS,1410,2,Object Oriented Programming,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,35,0,15,0,SMITH,116,
42331,,,,,,CS,2100,1,Discrete Structures,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,36,0,20,0,SMITH,116,
40119,,,,,,CS,2420,1,Introduction to Algorithms and Data Structures,A01,A,LEC,P,1,3,3,BA,,MW,1500,1615,36,0,15,0,SMITH,116,
40760,,,,,,CS,2420,2,Introduction to Algorithms and Data Structures,A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,36,0,15,0,SMITH,116,
40612,,,,,,CS,2450,1,Software Engineering,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,31,0,15,0,SMITH,107,
42194,,,,,,CS,2450,2,Software Engineering,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,32,0,15,0,SMITH,107,
42072,,,,,,CS,2500,1,Data Wrangling,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,32,0,15,0,SMITH,108,
40770,,,,,,CS,2810,1,Computer Organization and Architecture,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,32,0,15,0,SMITH,109,
41917,,,,,,CS,2810,2,Computer Organization and Architecture,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,32,0,15,0,SMITH,109,
40295,,,,,,CS,3005,1,Programming in C++,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,36,0,15,0,SMITH,117,
42603,,,,,,CS,3150,1,Computer Networks,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,32,0,15,0,SMITH,109,
41279,,,,,,CS,3400,1,Operating Systems,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,32,0,15,0,SMITH,109,
