CRN,Fac ID,Lname,Fname,Minitial,Position,Subject,Course,Section,Title,Campus,Active or Cncld,LEC or Oth,Crse Del Type,Session,Credits,WLF,Bud Code,Contact Hrs,Days,Beg Time,End Time,Seats CAP,Enroll,Waitlist Capacity,Waitlist Actual,Bldg,Rm,Xlist
21395,,,,,,CS,1030,1,Problem Solving with Computers,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,30,0,25,0,SMITH,109,
20253,,,,,,CS,1400,1,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,MW,1630,1745,38,0,25,0,SMITH,116,
20749,,,,,,CS,1400,2,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,31,0,25,0,SMITH,108,
20750,,,,,,CS,1400,3,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,32,0,25,0,SMITH,108,
20139,,,,,,CS,1400,50,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,T,1800,2030,38,0,25,0,SMITH,116,
20134,,,,,,CS,1410,1,Object Oriented Programming,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,30,0,25,0,SMITH,109,
20720,,,,,,CS,1410,2,Object Oriented Programming,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,32,0,25,0,SMITH,108,
22292,,,,,,CS,1410,40,Object Oriented Programming,O01,A,LEC,I,1,3,3,BA,,,,,22,0,0,0,ONLINE,,
20135,,,,,,CS,2420,1,Introduction to Algorithms and Data Structures,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,48,0,25,0,SMITH,117,
20141,,,,,,CS,2450,1,Software Engineering,A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,29,0,25,0,SMITH,108,
22289,,,,,,CS,2450,2,Software Engineering,A01,A,LEC,P,1,3,3,BA,,TR,1630,1745,29,0,25,0,SMITH,108,
20190,,,,,,CS,2810,1,Computer Organization and Architecture,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,32,0,25,0,SMITH,109,
21943,,,,,,CS,2810,2,Computer Organization and Architecture,A01,A,LEC,P,1,3,3,BA,,TR,1200,1315,32,0,25,0,SMITH,109,
20278,,,,,,CS,3005,1,Programming in C++,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,50,0,25,0,SMITH,116,
21397,,,,,,CS,3150,1,Computer Networks,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,32,0,25,0,SMITH,108,
20607,,,,,,CS,3410,1,Distributed Systems,A01,A,LEC,P,1,3,3,BA,,MW,1200,1315,32,0,25,0,SMITH,109,
20166,,,,,,CS,3510,1,Algorithms,A01,A,LEC,P,1,3,3,BA,,MWF,900,950,50,0,25,0,SMITH,116,
20152,,,,,,CS,3600,1,Graphics Programming,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,24,0,25,0,SMITH,113,
20490,,,,,,CS,4307,1,Database Systems,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,36,0,10,0,SMITH,109,
21084,,,,,,CS,4320,1,Machine Learning,A01,A,LEC,P,1,3,3,BA,,TR,900,1015,38,0,25,0,SMITH,116,
