CRN,Fac ID,Lname,Fname,Minitial,Position,Subject,Course,Section,Title,Campus,Active or Cncld,LEC or Oth,Crse Del Type,Session,Credits,WLF,Bud Code,Contact Hrs,Days,Beg Time,End Time,Seats CAP,Enroll,Waitlist Capacity,Waitlist Actual,Bldg,Rm,Xlist
21275,,,,,,CS,1030,1,Problem Solving with Computers,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,24,0,25,0,SMITH,113,
20227,,,,,,CS,1400,1,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,MW,1330,1445,34,0,25,0,SMITH,116,
20684,,,,,,CS,1400,2,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,32,0,25,0,SMITH,107,
20685,,,,,,CS,1400,3,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,36,0,25,0,SMITH,117,
22344,,,,,,CS,1400,4,Fundamentals of Programming,A01,A,LEC,P,1,3,3,BA,,TR,1330,1445,31,0,25,0,SMITH,108,
20116,,,,,,CS,1410,1,Object Oriented Programming,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,32,0,25,0,SMITH,109,
20657,,,,,,CS,1410,2,Object Oriented Programming,A01,A,LEC,P,1,3,3,BA,,TR,1500,1615,32,0,25,0,SMITH,108,
22020,,,,,,CS,1410,40,Object Oriented Programming,O01,A,LEC,I,1,3,3,BA,,,,,35,0,0,0,ONLINE,,
22345,,,,,,CS,2100,1,Discrete Structures,A01,A,LEC,P,1,3,3,BA,,MWF,1000,1050,36,0,25,0,SMITH,116,
22346,,,,,,CS,2320,1,Introduction to Machine Learning,A01,A,LEC,P,1,3,3,BA,,TR,900,1015,32,0,25,0,SNOW,112,
20117,,,,,,CS,2420,1,Introduction to Algorithms and Data Structures,A01,A,LEC,P,1,3,3,BA,,MWF,1100,1150,36,0,25,0,SMITH,116,
